VP,method,room,position,error
3,WFS3,beta090,r3,-5.1694
4,WFS3,beta090,r3,-5.0419
5,WFS3,beta090,r3,2.4526
6,WFS3,beta090,r3,-3.6411
7,WFS3,beta090,r3,-3.3454
8,WFS3,beta090,r3,-5.5196
9,WFS3,beta090,r3,-9.4818
10,WFS3,beta090,r3,-6.8534
1,WFS3,beta090,r3,-0.97273
2,WFS3,beta090,r3,0.29116
3,WFS3,beta090,r3,-2.1792
4,WFS3,beta090,r3,-1.858
5,WFS3,beta090,r3,2.6402
6,WFS3,beta090,r3,-1.6902
7,WFS3,beta090,r3,-2.4024
8,WFS3,beta090,r3,0.15265
9,WFS3,beta090,r3,-4.2142
10,WFS3,beta090,r3,-5.5891
1,WFS3,beta090,r3,3.6797
2,WFS3,beta090,r3,4.1282
3,WFS3,beta090,r3,-1.4034
4,WFS3,beta090,r3,3.265
5,WFS3,beta090,r3,5.1173
6,WFS3,beta090,r3,7.0918
7,WFS3,beta090,r3,-1.9248
8,WFS3,beta090,r3,2.4781
9,WFS3,beta090,r3,-2.4642
10,WFS3,beta090,r3,-4.6333
1,WFS8,beta070,r1,-7.4515
2,WFS8,beta070,r1,-7.653
3,WFS8,beta070,r1,-8.34
4,WFS8,beta070,r1,-9.5538
5,WFS8,beta070,r1,-1.6225
6,WFS8,beta070,r1,-8.1558
7,WFS8,beta070,r1,-9.9657
8,WFS8,beta070,r1,-14.9719
9,WFS8,beta070,r1,-11.1531
10,WFS8,beta070,r1,-14.0876
1,WFS8,beta070,r1,-6.0891
2,WFS8,beta070,r1,-4.4281
3,WFS8,beta070,r1,-6.6589
4,WFS8,beta070,r1,-1.8166
5,WFS8,beta070,r1,-1.3195
6,WFS8,beta070,r1,-6.5767
7,WFS8,beta070,r1,-7.0141
8,WFS8,beta070,r1,-5.973
9,WFS8,beta070,r1,-9.6787
10,WFS8,beta070,r1,-11.0584
1,WFS8,beta070,r1,-1.1249
2,WFS8,beta070,r1,-1.5915
3,WFS8,beta070,r1,-5.6782
4,WFS8,beta070,r1,-0.053222
5,WFS8,beta070,r1,-0.16039
6,WFS8,beta070,r1,-6.0484
7,WFS8,beta070,r1,-6.4084
8,WFS8,beta070,r1,-3.5491
9,WFS8,beta070,r1,-4.7493
10,WFS8,beta070,r1,-10.6754
1,WFS8,beta070,r1,-0.948
2,WFS8,beta070,r1,1.1306
3,WFS8,beta070,r1,-4.8204
4,WFS8,beta070,r1,1.1707
5,WFS8,beta070,r1,-0.05241
6,WFS8,beta070,r1,-5.7312
7,WFS8,beta070,r1,-5.43
8,WFS8,beta070,r1,-3.3061
9,WFS8,beta070,r1,-4.5151
10,WFS8,beta070,r1,-5.8863
1,WFS8,beta070,r1,-0.93313
2,WFS8,beta070,r1,3.226
3,WFS8,beta070,r1,-3.3556
4,WFS8,beta070,r1,2.2157
5,WFS8,beta070,r1,3.4446
6,WFS8,beta070,r1,-5.7205
